"","species_common.x","species_latin","Family","Qu.1","RationaleQu1","Qu.2","RationaleQu.2","Qu.3","RationaleQu.3","Qu.4","RationaleQu.4","Global environmental risk","AISR_Listing","Secondary_Assessment","Science_Support","Notes.x","species_common.y","taxa","listed_elsewhere","pet_aquarium","Aquaculture","rec_fish","biofouler","Bilge Water","water_garden","possible_to_overwinter","suitable_hab_suspected","Notes.y"
"51","Common Fleabane","Pulicaria dysenterica","Asteraceae",1,"Considered a weed in its native range. Can form dense clusters of plants, spreading by its roots. Pathways include garden trade.",3,"marshy places like fen-meadows, reed beds, dune slacks, wet hollows, and the edges of lakes, rivers, canals, streams, ditches and seepages on sea cliffs. It is also found at the edges of damp woodland and roadside verges, and it is sometimes cultivated along pond edges in gardens, where it prefers sun and plenty of water",1,"Data deficient, but due to aggressive growth tendencies is likely to crowd out other species where established",0,"D.D.",5,"No","No","Yes","There is insufficient information in the literature on the potential impacts on native species and ecosystem functions of P.dysenterica","Common Fleabane","Plant",NA,"No","No","No","No","No","No","Yes","Yes",NA
"52","Common glasswort","Salicornia europaea","Amaranthaceae",1,"Not considered an aquatic invasive species, except a small portion of the UAE where an unreported colony is at risk, and therefore was likely captured by the intial analysis",1,"Will not colonize wetlands or freshwater systems. It grows in salt marshes and mangroves and dunes.",1,"No known impacts on aquatic species",1,"No known impacts on aquatic ecosystems",4,"No","No","No","Salt marshes and beaches are its habitat. Should be removed.","Common glasswort","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"53","Common Sawbelly","Hemiculter leucisculus","Cyprinidae",2,"unintentional introductions through stocking of other similar species is the greatest pathway of introduction.",3,"H. leucisculus is found in rivers, lakes, reservoirs, canals, and marshes. It keeps to the water surface in stagnant waters.",2,"H. leucisculus is considered as a pest in fish farms where it competes with juveniles of commercial species. It also harms the local fish fauna, and displaces the small, native species, most probably by predation. H. leucisculus may compete with the native species and might also feed on their eggs and fry. It has displaced native species in the Aral Sea Basin due to its higher resistance to predators, the high fecundity and its ability to eat a wide range of food.",2,"reported to impact ecosystem services but little data is available",9,"yes","No","yes",NA,"Common Sawbelly","Fish","AISR","Yes","Yes","No","No","No","No","Yes","Yes","Round goby eating eggs is a vector?"
"54","Coral Necklace","Illecebrum verticillatum","Caryophyllaceae",1,"Although it has been naturalised in a number of new sites (likely assisted by milder winters and human transportation) it is declining in its native sites without clear reason resulting in its Endangered GB Red List status. Coral necklace has been collected in gardens, nursery lots and waste areas in Massachusetts. No other North American collections are known.",2,"
Coral Necklace is most frequently found in seasonally-flooded hollows and pools in heathland and heath grasslands; and in seasonally-flooded track ways across heathlands or within conifer plantations on previously heathland sites. Ideally, Coral Necklace needs heavy levels of disturbance from grazing animals, such that occurs on the edges of temporary ponds, at pinch points created through heather or gorse, or along trackways",0,"D.D",0,"D.D",3,"No","No","Yes","Data is insufficient on the potential impacts of this species outside of its native range. Most of the literature refers to I.verticillatum as a species at risk and does not explore impacts.","Coral Necklace","Plant",NA,"No","No","No","No","Yes","Yes","uncertain","Yes",NA
"55","Cuban Bulrush","Oxycaryum cubense","Cyperaceae",1,"There was little information available on this species but it seems to be a wetland plant but can be found in rivers, streams, swamps, marshes, and ponds (Global Invasive Species Database). The species' range is mostly restricted to Mexico and southern US (iNaturalist).",0,"No data was located to indicate that this species has invaded areas of conservation value.",2,"Species forms dense floating mats that mipact light penetration. Also, the dense mats send out 'runners', which crowd out native plant species (Global Invasive Species Database).",2,"The impacts on native plants and the formation of dense mats will likely lead to decreased water flow and can alter plant assemblages.",5,"No","No","No",NA,"Cuban Bulrush","Plant","USFW","No","No","No","Yes","Yes","No","uncertain","during warm years",NA
"56","Curly leaved ponweed","Potamogeton crispus","Potamogetonaceae",3,"P. crispus is widely distributed through US and southern Canada (iNaturalist; Thayer et al. 2022). The species can be introduced through intentional plantings, waterfowl transfers, contaminated water used to transfer fish for aquaculture, and unclean boats.",3,"P. cripus is so widely distrubted that it must be found in areas of conservation value too.",3,"P. cripus establishment can impact native plant diversity, alter predator/prey relationships, impede water flow, cause stgnant water conditions, contribute to eutrophication and algal blooms, decrease oxygen concentrations, impede recreational water use (i.e. fishing, boating, swimming) (Thayer et al. 2022).",3,"As previous mentioned, P. cripus significantly imacts ecosystem functioning and structure.",12,"Yes","unnecessary","unnecessary",NA,"Curly leaved ponweed","Plant","USFW","No","No","No","Yes","Yes","No","Yes","Yes",NA
"57","Curly waterweed","Lagarosiphon major","Hydrocharitaceae",2,"Popular water garden and aquarium plant that has the potential to colonize large areas. The species spreads naturally via water current by fragmentations. Further spread is possible through unclean boats, gear, or equipment via hitchhiker pathway (Mikulyuk & Nault 2008). The species' history of introduction section on CABI indicated that although this species has the potential to spread widely through multiple vectors, thus far invasions have been relatively localised. If introduced to NS, it is likely to find suitable habitat, but long-term establishment may be limited by water temperatures (perferrence is >10 degrees C).",2,"uncertain as to whether or not the species suitable habitat in the Maritimes would overlap with species at risk or areas of high biodiversity. Also, no infirmation on species ability to spread through connected systems was located.",3,"If able to establish, the speceis is likely to outcompete native plants, forming monocultures. Similar to other inasvive plants, L. major is likely to damage ecosystem services thrugh loss of biodiversity and formation of dense mats impacting nutrient cyclings, water flow, and recreational water use (Mikulyuk & Nault 2008).",3,"Yes, likely to impact ecosystem functioning if able to establish.",10,"Yes","No","Ywa","Modeling needed to determine habitat suitability within Canada.","Curly waterweed","Plant","USFW, CABI","Yes","No","No","Yes","No","Yes","Yes","uncertain",NA
"58","Danuba crayfish","Pontastacus leptodactylus","Astacidae",2,"Distributed throughout Europe (iNaturalist) in lakes, ponds, and rivers. Species is able to handle both freshwater and brackish environments (Sea Life Base). No information is available on spread of species.",0,"d.d.",0,"d.d.",0,"d.d.",2,"No","No","No","Not a lot of information available on this species. Maybe something that Sicence could look into?","Danuba crayfish","Arthropod","USFW","Yes","Yes","Yes","No","No","No","Yes","Yes",NA
"59","Daphnia","Daphnia ambigua","Daphniidae",2,"Daphnia are an easily transported species via ballast water, therefore the risk is relatively low in this region. However, the possibility for transport via biofouling or recreational boating remains.",2,"Based on GBIF observations, this species has colonised areas all the way to Maine, and in areas of high conservation as well.",1,"We are at the northern end of the range for this species, and while it is cold tolerant and has established in Maine/Quebec, it remains to be seen if it would establish to population levels that would affect the stability of existing cladoceran population structures",2,"As a keystone species, daphnia spp. Can affect all levels of the food web, and therefore andy consequential shift in population structure would have cascading effects in the ecosystem",7,"Yes","Yes","No","Not much out there in terms of literature on the invasiveness of this species. It would be interesting to see the CMIST. CSAS unlikely needed as no specific questions with existing work.","Daphnia","Arthropod",NA,"No","No","No","No","Yes","No","Yes","Yes",NA
"60","Dark falsemussel","Mytilopsis leucophaeata","Dreissenidae",2,"This species is present in Europe and along the eastern seaboard of the US offering donor populations that could be transported to the Maritimes region by ballast water, hull fouling, or aquaculture transfers (U.S. Fish and Wildlife Service 2019). The species wide range to various salinities indicates that hull fouling on commerical ships, recreationla boats, barges, equipment used in water, etc. can facilitate the transfer of the species even if the hull of the vessel is exposed to fresh or salt water conditions (U.S. Fish and Wildlife Service 2019). However, the rate of spread post-introduction is not known. Theoretically, the larval drift of veligers could carry the species down stream if introduced upstread but most shipping, aquaculture, etc activities in the Maritimes are marine based meaning the species would not spread upstream without human or animal assistance.",3,"The species is able to endure both marine and freshwater conditions as well as a variety of water temperatures; and has been recorded in streams with water temperatures as low as 5 degrees C (U.S. Fish and Wildlife Service 2019). The species abilty to arrive in novelle habitats via fouling and transfer in standing water make th risk of introduction to high value habitats more likely.",2,"Little evidence is available of this species impacts on native species, but the impacts are likley similar to those fo zebra mad quagga mussels. However, some research suggests that M. leucophaeata may impact ecosystems slightly less than zebra or quagga mussels due to its smaller size (U.S. Fish and Wildlife Service 2019). M. leucophaeata presencs increases inter-species competition with other filter feeding mollusc species with direct impacts on resources such as calcium and food availability.",3,"As a fouling species, the species may accumulate on water in-take screens, clog pipes, and cause infastructure damage due to decreased water flow (U.S. Fish and Wildlife Service 2019). Additionally, M. leucophaeata can form dense populations that alter ecosystem functioning similar to quagga or zebra mussel (U.S. Fish and Wildlife Service 2019).",10,"Yes","Yes","Yes","Detailed level risk assessment for the species is recommended since the species is very close to Canada with high climate match throughout Atlantic Canada.","Dark falsemussel","Mollusc","USFW","No","No","No","Yes","Yes","No","Yes","Yes",NA
"61","Duckweed","Lemna aequinoctialis","Araceae",2,"Duckweeds may be introduced to new water areas by slow-moving water along interconnected watercourses and by floods (Hicks, 1937). Lemna species can be distributed by birds, fish and mammals over short distances (Hicks, 1937; Flora of North America Editorial Committee, 2017). Duckweeds in general are accidentally transported with fish and aquatic plants released for restocking ponds (Hicks, 1937). L. aequinoctialis has also been dispersed through rice cultivation (Pott, 2002). It is reported in water tanks used for bird farming in Brazil (Pott, 2002). Lemna aequinoctialis has been intentionally introduced to provide food for waterfowl (Hicks, 1937). It is also used as an aquarium plant (Pott, 2002).",3,"Lemna aequinoctialis can be found in mesotrophic to eutrophic lentic waters of lakes, pools, ponds, rice fields and ditches and warm-temperate to tropical climates from sea level to 2800 m (Landolt, 1992; Beentje and Lansdown, 2018; Flora of China Editorial Committee, 2017).",2,"In ponds in India, the submerged vegetation is reduced when L. aequinoctialis cover is higher than 40% (Sengupta et al., 2010). Dense aggregations of duckweeds in eutrophic waters can reduce light penetration and pond aeration causing anoxia and fish death (Bengtsson et al., 1999). Generally, invasive aquatic plants can affect microinvertebrate communities (Lukács et al., 2016).",2,"In India, L. aequinoctialis is one of the species that restricts the proper functioning of ponds, and contributes to eutrophication (Sengupta et al., 2010). L. aequinoctialis is being promoted for use in contaminant removal from polluted water; however, their small size and floating ability allow them to be easily blown off the water surface resulting in the transfer of contaminants to uncontaminated sites (Mkandawire and Dudel, 2007).",9,"yes","no","yes",NA,"Duckweed","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"62","Eastern mosquitofish","Gambusia holbrooki","Poeciliidae",2,"Mosquitofish have become the most widely distributed freshwater teleosts in the world (Krumholz, 1948) mainly through deliberate human introductions (e.g. Lintermans, 2004). Primairly moves through human-mediated transport.",3,"They are very adaptable and will live in almost aquatic habitats from fresh to hyper-saline, cold temperate to tropical waters (and artificially heated waters), inland, coastal and estuarine waters, and both still and slow-flowing waters.",2,"G. holbrooki is known to impact upon native fish via competition with similar sized species, predation upon the fry and eggs of native fish, and by attacking all sized fish by aggressive fin-nipping, thereby leaving them susceptible to disease (Arthington, 1991).",3,"Many studies in the USA and Australia have found significant habitat overlap between mosquitofish and native fish throughout all stages of their respective life cycles. These overlaps combined with the superior competitive ability of Gambusia mean that native fish may be lost from waters where Gambusia dominates (Schoenherr, 1974, 1981; Arthington et al., 1983; Lloyd et al., 1986; Lloyd 1987; Arthington, 1989; Arthington and Lloyd, 1989; Lloyd, 1990; Arthington and Marshall, 1999; Rincon et al., 2002; King, 2003; Pyke, 2005).",10,"yes","No","yes",NA,"Eastern mosquitofish","Fish",NA,"No","Yes","No","No","No","Yes","Yes","Yes",NA
"63","Eastern Mudwinnow","Umbra pygmaea","Umbridae",2,"The spread in the non-native range seems to be very slow and is mainly human mediated (due to its use as live bait or aquarium fish, or escapes from aquaculture ponds infested with U. pygmaea) (Verreycken et al., 2010).",2,"The typical habitat of U. pygmaea is lowland waters with little to no streamflow, such as backwaters, ponds and irrigation channels (Kottelat and Freyhof, 2007).",2,"Negative impacts on biodiversity are generally described as low to medium (Verreycken et al., 2010; Froese and Pauly, 2014), especially in riverine systems. U. pygmaea may be considered a high impact species in ditches with dense vegetation or in waters without other fish species (Dederen et al., 1986). In moorland pools U. pygmaea may even play an important role as a top predator (Dederen et al., 1986). Vooren (1972) reported heavy predation on (protected) amphibian larvae.",1,"potential to alter foodwebs in distrubed areas through predation",7,"Yes","No","Yes","uncertain on inter-species and ecosystem impacts","Eastern Mudwinnow","Fish",NA,"Yes","No","No","No","Yes","No","Yes","Yes",NA
"64","Eurasian minnow","Phoxinus phoxinus","Cyprinidae",2,"Noted by Sandlund (2008) as 'slowly but steadily' expanding species distribution through introduction to new watercourses adjacent to already invaded ones. In some European coutnries the species is common while other note it a 'rare' or 'endangered.' Yet, P. ohoxinus established dense populations where introduced to Norway (Sandlund 2008). The species has not been reported in North America (iNaturalist). Menas of introduction are primary through use as bait for recreational fishing species including trout, perch, and pike (Sandlund 2008).",2,"As the main vector of introduction is recreation fishing and recreational fihsing does overlap with areas of conservation value in the Maritimes and represents a main economic driver for the area, it is possible that this species is introduced and established in these conservation priority areas. This species can inhabit brackish and freshwater including coastal areas, streams, rivers, ponds, and large lakes (Sandlund 2008).",2,"P. phoxinus may host novelle parasites that can be transferred to snails, mussels and some insects (Sandlund 2008). Also, P. phoxinus establishment may impact brown trout populations and can cause major changes to benethic communities, leading to bioversity loss of zoo benthos (Sandlund 2008).",2,"P. phoxinus introduction would impact ecosystem functioning through alteration in food web structure through a bottom-up approach, but these impcts may be reversible.",8,"Yes","No","No",NA,"Eurasian minnow","Fish","AISR","No","No","Yes","No","No","No","Yes","Yes",NA
"65","Eurasian watermilfoil","Myriophyllum spicatum","Haloragaceae",3,"Well known invasive history throughout North America and already present in New Bunrswick (iNaturalist).",3,"Known to spread throughout connected water systems and can spread between system by fouling boats and fishing gear.",3,"Major impacts to native species due to changes in habitat structures, flow regimes, and invert species compositions.",3,"High impact to ecosystem functions such as recreational water use, nutrient cycling, flow regimes, food webs, and physical habitat structures.",12,"Yes","No","No","Well known invasive impacts and history in North America. Therefore, no need to proceed with more detailed analysis.","Eurasian watermilfoil","Plant","OISC, NOAA","Yes","No","No","Yes","Yes","Yes","Yes","Yes",NA
"66","European bitterling","Rhodeus amarus","Cyprinidae",2,"Other than a single report of the specie sitnroduction to Ontario, which did not result in an establish population, and brief appearance in New York State, which also seems to have disappeared, R. amarus is not reported in North America (Nico & Fuller 2024; U.S. Fish & Wildlife Service 2021). Little information is known about this species outside its native European range but the species may be introduced via aquarium release (Nico & Fuller 2024) and is potamodromous meaning that migration for spwaning is expected (U.S. Fish & Wildlife Service 2021). Therefore, it is unknwon if the species, thermal tolerance would allow for establishment in Canada, but if the species did establish then dispersal through connected systems and between unconnected system via bait use could occur.",1,"Species ability to invade high value habitat is, at this time, unlikely due to the main vector of introduction into Canadian ecosystems being aquarium dumping, which is expected to occur in areas with high human density (DFO 2021). However, this category score may increase if a donor population within Eastern Canada existed because this species could potentially be used as recreational fihsing bait.",1,"R. amarus impacts on native species are considered minimal due to the specie herbivorous diet, reliance on freshwater mussels to complete life-cycle (which has lead to population declines when mussel abundance declines), and expert opinion that the specie sis ""unlikely to cause appreciable native impacts on any habitat in northeastern United States,"" which Canada is even more northern to (U.S. Fish & Wildlife Service 2021). Notably, this species has limited information on current distributions and impacts on invaded ecosystems.",0,"d.d.",4,"No","No","Yes","Is this specie slikely active in another vector?","European bitterling","Fish","USFW","Yes","No","No","No","No","Yes","Yes","Yes",NA
"67","European bitterling or Monkey Goby","Neogobius fluviatilis","Lythraceae",3,"capable of upstream mgrations and is likely transported through ship's ballast water",3,"mainly appears in littoral zones of lakes and rivers in Hungary (Keresztessy 1996). It may benefit from the anthropogenic alteration of the littoral zone through the implementation of rip-rap shorelines or harbours (Czegeldi et al. 2019).",2,"Where introduced, Neogobius fluviatilis may potentially impact native fish populations. A marked decline in tubenose goby in the Danube River was attributed to the rapid expansion of round goby and monkey goby populations in 2004 (Molnár 2006). Experiments investigating habitat competition between non-native and native fish of the Rhine and Meuse rivers did not find that native fish Cottus perifretum or Barbatula barbatula changed their selection of habitat type when they co-occurred with Neogobius fluviatilis.                     The expansion of Neogobius fluviatilis as well as other undesirable introduced goby species coincided with a significant reduction in the abundance of benthic invertebrates",1,"Not documented to affect ecosystem function but are known to carry a wide variety of parasites in low numbers",9,"yes","No","yes","may be beneficial as they're known to prey upon other invasive Goby species and have the potential to consume Zebra/Quagga mussels","European bitterling or Monkey Goby","Fish",NA,"Yes","Yes","No","No","No","No","Yes","Yes",NA
"68","European chub","Leuciscus cephalus","Cyprinidae",2,"This species may be introduced to establish a new food source or new recreational fishery or as a biat fish (Utjes Masco & Maceda Veiga 2012).",3,"Species is considered high mobile where it has been introduced in Italy and Ireland. Species is pelagic, indicating a mitgatory behaviour. A freshater fish that prefers slow to moderate water flow  (Utjes Masco & Maceda Veiga 2012).",2,"Species may hydridize with closely related species from the Squalius genus (which are also not native to the Maritimes).",2,"The species presence may alter trophic levels within native foodwebs through itner-species competition (Utjes Masco & Maceda Veiga 2012).",9,"Yes","No","No","Maybe revisit in a few year if species range has expanded in Europe.","European chub","Fish","AISR, FB","No","No","Yes","No","No","No","Yes","Yes",NA
"69","European fingernail clam","Sphaerium corneum","Pisidiidae",2,"S. corneum can form dense population if it finds suitable habitat. However, the species is sensitive to desiccation, which limits it's ability to spread on unclean boats, gear, etc (Kipp et al. 2022). Furthermore, S. corneum prefers areas with high calcium concentrations, which is not common in much of Nova Scotia. Therefore, this species is would like establish in Northern-Nova Scotia, New Brunswick, and some parts of PEI only. Lastly, the species primary mode of introduction is shipping but, as shipping in the Maritimes is marine-based, would be unlikely to be introduced (Kipp et al. 2022).",1,"S. corneum is only known to be established in the Great Lakes within Canada (iNaturalist; Kipp et al. 2022). Although there are conservation areas within the Great Lakes, the species has not widely distributed within the lakes.",2,"The species is a host for multiple parasites, which could impact fish of recreational or conservation importance (Kipp et al. 2022).",1,"No literature was located to suggest that this species impacted ecosystem functioning.",6,"No","No","Yes","Uncertain if active vector for introduction exists in the Maritimes.","European fingernail clam","Mollusc","AISR, USGS","No","No","No","Yes","Yes","No","Yes","uncertain",NA
"70","European frog-bit","Hydrocharis morsus-ranae","Hydrocharitaceae",2,"Widely dispersed in southern ON and QC (iNaturalist). The species can be introduced through ormental garden ponds or by fouling boats (Jacono & Berent 2022).",2,"Well established in ON and QC. However, H. morus-ranae prefers water bodies with high-calcium concentrations, which could limit it's spread in the Maritimes (Jacono & Berent 2022). Therefore, SAR habitat in northern Nova Scotia and New Brunswick would be the most at-risk of this species introduction.",2,"Can form dense, tangled mats that crowd-out native plants, block light penetration, and inhibit recreational use (Jacono & Berent 2022).",1,"The impacts of this species' establishment on ecosystem functioning is unknown. However, typically species producing dense mats do impact water flow and nutrient cycling. Further research is needed to determine.",7,"Yes","Yes","Yes","Not sure what the impacts would be or the species' threshold for calcium.","European frog-bit","Plant","OISC, USGS, MS","Yes","No","No","Yes","No","Yes","Yes","Yes",NA
"71","European perch","Perca fluviatilis","Percidae",3,"Species is cultured as fishfood and has a relatively large market with individuals looking to establish new P. fluviatilis fisheries. Also, a popular sportfish (CABI 2021).",2,"It is unknown if this species specifically impacts conservation areas. However, P. fluviarilis is widely distributed throughout Europe, New Zealand, and Australia (iNaturalist, CABI 2021, Global Invasive Species Database 2022). Therefore, it is likely that there is overlap.",3,"Noted in Cabi (2021) and GISD (2022) as having significant impacts on invaded habitat. However, it is unclear as to what the impacts would be.",2,"Not noted as causing ecosystem functioning to alter. However, the presence of P. fluviarilis could alter food webs by presenting a new food source to predators and/or my overcomsumption of prey species.",10,"Yes","Yes","No",NA,"European perch","Fish","USFW","No","No","Yes","No","No","No","Yes","Yes",NA
"72","European smelt","Osmerus eperlanus","Osmeridae",1,"most planned introductions have failed, capable of spread through natural dispersal",3,"O. eperlanus occurs in coastal waters and estuaries and migrates into large clean rivers at spawning time.",1,"introduced O. eperlanus has not shown the same negatively impacted native fish communities (Korlyakov and Mukhachev, 2009). However, one of the few waters where the introduction of O. eperlanus has caused problems is Syamozero Lake in Karelia, northwest Russia (Ieshko et al., 2000). Here, the accidental introduction led to the development of a large population and this caused serious changes in fish community structure and trophic relationships in this lake.",1,"no anticipated to have substantial negative impacts on ecosystem function",6,"No","No","uncertain","Unlike other Osmerus species there is practically no evidence that O.eperlanus is invasive. On the contrary, many former populations have become extinct and this species is included in the IUCN Red List of Threatened Species as 'Least Concern' (http://www.iucnredlist.org/). Only a few populations have ever become established from planned introductions.","European smelt","Fish",NA,"No","Yes","Yes","No","No","No","Yes","Yes","salt water?"
"73","European stream valvata","Valvata piscinalis","Valvatidae",2,"Initially introduced to the Great Lakes in 1897, this species has become well established in all Great Lakes and portions of the St. Lawerence. It is thought that the species continues to spread via channel construction or on ships. Also, the species can naturally spread throughout connected water ways (Kipp et al. 2022).",2,"Species is establishe din Great Lakes, parts of which are conservation areas. However, it seems that the species' range expansion is limited by man-made canal systems (Kipp et al. 2022).",2,"This species impacts native gastropod abundances through inter-species competition. Furthermore, the species can inhabit eutrophic lakes and ponds, giving the species a compeitive advantage over native molluscs (Kipp et al. 2022).",2,"No literature was found that suggested this species impacted ecosystem functioning. However, non-native molluscs often impact foodwebs from a bottom-up mechanisms.",8,"Yes","maybe","No","It is unclear if this species would be introduced to NS. It may depend if it is available in pet stores or if the species can withstand long periods of desication.","European stream valvata","Mollusc","AISR, NOAA","No","No","No","Yes","Yes","No","Yes","Yes",NA
"74","European water chestnut","Trapa natans","Lythraceae",3,"Species was intentionally introduced to North America through water garden enthusiasts. T. natans can spread via seeds or by fragmentation (Pfingsten et al. 2022). Additionally, the species can hitchhike on unclean boat and waterfowl. The species is able to disperse long-distances (Pfingsten et al. 2022).",3,"Due to the numerous methods of spread, T. natans is likely to be introduced to areas of conservation value if given the opportunity.",3,"T. natans grows into very dense mats that almost completely inhibit light penetration, reducing oxygen concentrations that lead to fish kills. Furthermore, the dense mat accumulate contaminants such as cadmium, nickel, and colbat. Furthermore, T. natans impact the forging behvaious of mammals, birds, fish, and invertebrates (PFingsten et al. 2022).",3,"Due to the ecological impacts noted in the previous section, T. natans is expected to alter ecosystem functioning by changing nutrient cycling, water flow regimes, altering foodwebs, and decreasing recreational value of water.",12,"Yes","No","No","Species is likely to find suitable habitat and exhibit adverse ecosystem impacts if introduced.","European water chestnut","Plant","OISC, USGS","No","No","No","Yes","No","Yes","Yes","Yes",NA
"75","European water clover","Marsilea quadrifolia","Marsileaceae",3,"Species is able to spread vegetatively through rhizome or through germinated spores hitchhiking on waterfowl, boats, etc. The species can remain dormant in solid for long durations. This is an ormental species that was deliberately released in 1925 to the Lake Ontario drianage. Since the first introduction, the species has spread to Eastern US (Cao & Berent 2022).",2,"No literature indicated that this species occupied areas of high conservation avlue. However, the ability to spread via hitchhiking spores would present a risk of introduction to  conservation areas.",2,"This species exhibits some competitive advantages over native plants, for exmaple, it is able to alter the anlgle of leftlets to maximize sun exposure (Cao & Berent 2022). However, the ecological impacts of this species are generally unkown.",1,"Some report that this species does not agressively spread of colonize invaded habitats (Cao & Berent 2022). However, further research is needed.",8,"Yes","No","Yes","Further research is needed to determine the extent this species colonizes invaded systems, if it impacts water flow, nutrient cycling or other common symptoms of non-native plant invasions.","European water clover","Plant","MS","Yes","No","No","Yes","unknown","Yes","Yes","Yes",NA
"76","False brome","Brachypodium sylvaticum","Poaceae",3,"Known to be invasive outside of its native range and will aggressively colonize a wide variety of habitats. Spreads rapidly by seeds, has a persistent seed bank and is long-lived. Is classified as a noxious weed in 3 U.S. states.",2,"forest understories, open grasslands, stream banks and lake margins. Prefers well drained soils but can dominate riparian habitats.",3,"displaces native vegetation, forms monocultures and reduces tree seedling recruitment",3,"Significantly reduces biodiversity, known to alter fire regimes",11,"Yes","No","No","There is sufficient scientific evidence to support listing and to understand ecosystem impacts of this species.","False brome","Plant",NA,"No","No","No","No","No","No","Yes","Yes","""prefers well drained soils and avoids wet conditions"""
"77","Fathead minnow","Pimephales promelas","Cyprinidae",2,"This species has proven to have a relatively easy path to invade many different areas across North America. A very popular bait fish, it grows rapidly, has a wide diet, and it has propogated into many new areas.",2,"This species does not seem to have a predisposition to high value habitats, but could definetly be introduced.",2,"Impacts to native species are understudied, but there are concerns with competition, specifically with other small bait fish. It can indirectly affect aquatic insects, large cladocerans and other vertebrate and invertebrate species by reducing habitat quality (by increasing turbidity, phosphrous and chlorophyll a)",2,"Repeated introductions of fathead minnows can cause algal blooms, high turbidity and a loss of wetland plants, invertebrates and other vertebrate species. Therefore, introductions of P. promelas to wetlands can significantly reduce habitat quality",8,"Yes","Yes","No","Species is widely distributed throughout Canada, but not many reported effects","Fathead minnow","Fish",NA,"Yes","No","Yes","No","No","No","Yes","Yes",NA
"78","Fen Bedstraw","Galium uliginosum","Rubiaceae",2,"Due to it's ease of spread, it has expanded it's range widely.",1,"This species could be managed with herbicides if there were indications that it was encroaching on areas of high value. As a terrestrial plant that just tolerates flooding, it is unlikely to affect aquatic environments in any long lasting capacity.",1,"Can sometimes outcompete natives, but usually only because the environmental conditions have changed to beenfit the invader (i.e. area becomes very wet for a short period of time).",1,"Does not seem to have adverse impacts on the environment. Known to help bank stability with their root structure.",5,"No","No","No",NA,"Fen Bedstraw","Plant",NA,"No","No","No","No","No","Yes","Yes","Yes",NA
"79","Fishhook waterflea","Cercopagis pengoi","Cercopagidae",3,"This species has 'resting eggs' that be distributed across long ranges. Resting eggs are resistant to desiccation, freeze-drying, and ingetsion by predators. The species can reproduce sexually or asexually and produce either eggs to hatch that year or retsing eggs, which hatch the following spring. Furthermore, the species is able to tolerate freshwater, brackish, and marine conditions. Therfeore, there is a risk that this species to become throughout the Maritimes. The primary means of introduction is ballast water, but it can be locally dispersed via boats and fishing lines (Kotta 2007).",3,"Species is able to distrbute thoughout ecosystems, include conservation areas.",3,"Species has a high impact on native fish foodwebs because it competes directly with small, plantivorous fish. Due to the spiny appendages, the species is not consumed by competing smaller fish until they reach a size large enough to handle the spines. Some research suggests that C. pengoi presence is correlated with declines in native fish populations and that depths where this species occurs there are depleted small organisms (Benson et al. 2022).",2,"It is unclear what the full extent of this species impact is on ecosystem functioning but the alterations fo food web structures may lead certain fish species to significantly decline.",11,"Yes","Yes","Yes","Unsure of full range of habitat suitability and whether active vectors for introduction exist.","Fish hook water flea","Arthropod","AISR, NOAA","No","No","No","Yes","Yes","No","Yes","uncertain",NA
"80","Flat Stemmed pondweed","Potamogeton compressus","Potamogetonaceae",1,"This species does not seem to be overly invasive, and in most areas of the world it is in decline and is threatned. Potamogeton compressus is a rather early succession species and tends to be outcompeted unless the habitat it grows in is regularly disturbed.Like its close relative Potamogeton acutifolius, it rarely grows in lakes; the shallow root system is intolerant of disturbance and is therefore vulnerable to wind action, boat disturbance and uprooting by fish.",1,"This species could potentially inhabitat areas of high value, like small undisturbed upper areas of ponds, but that is unlikely as it needs several conditions to be just right before it can establish itself.",1,"Not known to coutcompete native species, this species does not seem to have many direct impacts on other species.",1,"No known significant negative ecological impacts. Most reproduction in the wild appears to be asexual via turions, which is likely to mean that populations have limited ability to recolonise if lost.",4,"No","No","No",NA,"Flat Stemmed pondweed","Plant",NA,"No","No","No","No","Yes","Yes","Yes","Yes",NA
"81","Flathead catfish","Pylodictis olivaris","Ictaluridae",3,"Many introduction in the US are attributed to intentional (and sometimes illegal) stocking. However, the species has been noted to spread up and down stream of where they were initially stocked. Currently, the species is found throughout most of eastern and central US (Fuller et al. 2022; iNaturalist)",2,"Likely able to inhabit conservation areas if introduced but typically restricted to areas where intentional stocking has occurred and their connected systems (Fuller et al. 2022).",3,"P. olivaris impacts benthic feeding fish such as bullhead and sucker, and preys upon smaller fish such as sunfish. In some studies, P. olivaris is considered the dominant predator species. Furthermore, multiple studies have linked P. olivaris with population declines of native fish species (Fuller et al. 2022).",2,"It is unknown to what extent the laterations in fish assemblage would impact ecosystem functioning. Further research is needed to determine the expected outcomes of introducing P. olivaris  to the Maritimes where the typical prey species (e.g. crayfish, sunfish) have limited availability.",10,"Yes","No","Ywa","How would this fish adapt to being introduced to an area where only a few of the 'typical' prey species exist? Would Chain pickerel and smallmouth bass compete with flathead catfish?","Flathead catfish","Fish","AISR, USFW","No","No","Yes","No","No","No","Yes","Yes",NA
